id,Naslov,tema,podtema,tip_seta,ocena,st_ocen,st_delov,cena,cena_glede_na_kos,pakiranje,dostopnost,oblikovalec,Želijo komplet,Imajo komplet,Vse Minifigure,Unikatne Minifigure,Leto izdaje
10411-1,Learn About Chinese Culture,Duplo,Seasonal,Normal,,,,79.99,64.5,Box,Retail,,19,1,,,2023
40575-1,Year of the Rabbit,Seasonal,Chinese Traditional Festivals,Normal,,,,,,Box,,,336,,,,2023
40648-1,Money Tree,Seasonal,Chinese Traditional Festivals,Normal,,,,,,,,,160,,,,2023
41724-1,Paisley's House,Friends,,Normal,,,,,24.3,Box,Retail,,58,,,,2023
41727-1,Dog Rescue Centre,Friends,,Normal,,,,,9.7,Box,Retail,,74,,,,2023
41728-1,Heartlake Downtown Diner,Friends,,Normal,,,,,8.7,Box,Retail,Tom Gerardin,104,,,,2023
41730-1,Autumn's House,Friends,,Normal,,,,,8.2,Box,Retail,,134,,,,2023
41731-1,Heartlake International School,Friends,,Normal,,,,,10.2,Box,Retail,,84,,,,2023
75575-1,Ilu Discovery,Avatar,The Way of Water,Normal,,,,24.99,14.0,Box,Retail,,253,1,,,2023
75576-1,Skimwing Adventure ,Avatar,The Way of Water,Normal,,,,34.99,13.5,Box,Retail,,252,3,,,2023
75577-1,Mako Submarine,Avatar,The Way of Water,Normal,,,,54.99,9.9,Box,Retail,,289,2,,,2023
75578-1,Metkayina Reef Home,Avatar,The Way of Water,Normal,,,,79.99,15.1,Box,Retail,,217,2,,,2023
75579-1,Payakan the Tulkun & Crabsuit,Avatar,The Way of Water,Normal,,,,99.99,13.1,Box,Retail, Atticus,284,2,,,2023
80045-1,Monkey King Ultra Mech,Monkie-Kid,,Normal,,,,,8.2,Box,,,75,,,,2023
80110-1,Lunar New Year Display,Seasonal,Chinese Traditional Festivals,Normal,,,,,9.2,Box,,,351,,,,2023
80111-1,Lunar New Year Parade,Seasonal,Chinese Traditional Festivals,Normal,,,,,6.0,Box,,,290,,,,2023
910002-1,Studgate Train Station,Bricklink,2021 Designer Program,Extended,,,,,8.4,Box,Retail - limited,,694,271,,,2023
910004-1,Winter Chalet,Bricklink,2021 Designer Program,Extended,,,,,6.3,Box,Retail - limited,,703,273,,,2023
910008-1,Modular Construction Site,Bricklink,2021 Designer Program,Extended,,,,,8.0,Box,Retail - limited,,740,308,,,2023
