Id,Naslov,Tema,Podtema,Tip_seta,Ocena,Št_ocen,Št_delov,Cena,Cena_glede_na_kos,Pakiranje,Dostopnost,Želijo_komplet,Imajo_komplet,Vse_Minifigure,Unikatne_Minifigure,Leto_izdaje,Oblikovalec
700-12,Automatic Binding Bricks,System,Basic Set,Normal,,,,,,,,156,26,,,1949,
700_1_1-1,Individual 2 x 4 Bricks,System,Supplemental,Other,,,,,,,,57,16,,,1950,
700_1_2-1,Individual 2 x 2 Bricks,System,Supplemental,Other,,,,,,,,31,11,,,1950,
700_A-1,Automatic Binding Bricks Small Brick Set (Lego Mursten),System,Basic Set,Other,,,,,,,,44,14,,,1950,
700_B_1-1,Individual 1 x 4 x 2 Window (without glass),System,Supplemental,Other,,,,,,,,33,9,,,1950,
700_B_2-1,Individual 1 x 2 x 3 Window (without glass),System,Supplemental,Other,,,,,,,,32,9,,,1950,
700_B_3-1,Individual 1 x 2 x 2 Window (without glass),System,Supplemental,Other,,,,,,,,31,10,,,1950,
700_B_4-1,Individual 1 x 2 x 4 Door (without glass),System,Supplemental,Other,,,,,,,,32,9,,,1950,
700_1_4-1,Individual 1 x 2 Bricks,System,Supplemental,Other,,,,,,,,30,10,,,1953,
700_3_4-1,Individual 2 x 3 Bricks,System,Supplemental,Other,,,,,,,,29,9,,,1953,
700_B-1,Early LEGO Windows/Doors (without Glass),System,Supplemental,Other,,,,,,,,31,12,,,1953,
700_F-1,Automatic Binding Bricks - Small Brick Set  (Lego Mursten),System,Supplemental,Other,,,,,,,,30,10,,,1953,
700_1-1,Gift Package (Lego Mursten),System,Town Plan,Other,,,,,,,,30,19,,,1954,
700_16-1,Individual 2 x 8 Bricks,System,Supplemental,Other,,,,,,,,30,8,,,1954,
700_2-1,Gift Package (Lego Mursten),System,Town Plan,Other,,,,,,,,32,9,,,1954,
700_20-1,Individual 2 x 10 Bricks,System,Supplemental,Other,,,,,,,,29,8,,,1954,
700_24-1,Individual 2 x 12 Bricks,System,Supplemental,Other,,,,,,,,29,8,,,1954,
700_28-1,Individual 2 x 14 Bricks,System,Supplemental,Other,,,,,,,,30,8,,,1954,
700_3-1,Gift Package (Lego Mursten),System,Town Plan,Other,,,,,,,,28,17,,,1954,
700_3A-1,Gift Package (Lego Mursten),System,Town Plan,Other,,,,,,,,28,17,,,1954,
700_4-1,Gift Package (Lego Mursten),System,Town Plan,Other,,,,,,,,30,14,,,1954,
700_5-1,Gift Package (Lego Mursten),System,Town Plan,Other,,,,,,,,28,29,,,1954,
700_6-1,Gift Package (Lego Mursten),System,Town Plan,Other,,,,,,,,30,13,,,1954,
700_C-1,Tall Classic Windows/Door (with Glass),System,Supplemental,Other,,,,,,,,31,10,,,1954,
700_C_1-1,Individual 1 x 6 x 4 Panorama Window (with glass),System,Supplemental,Other,,,,,,,,31,9,,,1954,
